iter	MultiClass
0	1.354710044
1	1.329422218
2	1.299724334
3	1.269713769
4	1.244420626
5	1.216612516
6	1.193498793
7	1.17032333
8	1.146229325
9	1.130645929
10	1.109261102
11	1.092769264
12	1.076780515
13	1.05825975
14	1.043291882
15	1.031045761
16	1.018770838
17	1.005704746
18	0.9938746116
19	0.980467512
20	0.9662835666
21	0.9557889037
22	0.9437034911
23	0.9347467386
24	0.9247173581
25	0.9153538215
26	0.9030312404
27	0.8936008064
28	0.8833474643
29	0.8748894739
30	0.8651535806
31	0.857239221
32	0.849668588
33	0.8405771711
34	0.8315985297
35	0.8248230676
36	0.8168918738
37	0.8076278602
38	0.7993301768
39	0.7919812106
40	0.7836030204
41	0.777479425
42	0.7707959566
43	0.7621069359
44	0.7550241887
45	0.7494985897
46	0.7429535363
47	0.738571619
48	0.7328325154
49	0.728955867
50	0.7224176217
51	0.7195815879
52	0.7148702126
53	0.7107057459
54	0.7038887382
55	0.6999431422
56	0.693846093
57	0.6885339267
58	0.6839816877
59	0.6803302023
60	0.6761919568
61	0.670301875
62	0.6635565373
63	0.6606317556
64	0.6569682475
65	0.650684912
66	0.6457029361
67	0.6407964938
68	0.6344220575
69	0.6312317984
70	0.6271024324
71	0.6218447343
72	0.6184682567
73	0.6140470771
74	0.6108269122
75	0.6053203582
76	0.6009578223
77	0.5975003466
78	0.5943026955
79	0.5918852578
80	0.5861538529
81	0.5816639077
82	0.5772682708
83	0.5737350778
84	0.5696448468
85	0.566139202
86	0.5615712854
87	0.5577323741
88	0.5527894553
89	0.5493974776
90	0.5459660033
91	0.5424844863
92	0.5387121211
93	0.5353379042
94	0.5309360431
95	0.5278756549
96	0.5234740771
97	0.5196021909
98	0.516720518
99	0.513633222
100	0.5103953126
101	0.5068967778
102	0.503640702
103	0.4998348427
104	0.4967645345
105	0.4933395645
106	0.4912226971
107	0.48799018
108	0.4835158495
109	0.4799535231
110	0.4758583921
111	0.4744626485
112	0.4725172181
113	0.4697288277
114	0.4666985915
115	0.4646393429
116	0.4623431128
117	0.4588345652
118	0.456196745
119	0.4533319061
120	0.4499611079
121	0.4480772464
122	0.4457205993
123	0.443079842
124	0.4408813689
125	0.4389056419
126	0.436457744
127	0.4324052335
128	0.4295590922
129	0.4260751774
130	0.4242543932
131	0.4207539164
132	0.4176114282
133	0.4156570055
134	0.4134981077
135	0.4105505222
136	0.4083021993
137	0.4064667391
138	0.4040743267
139	0.401244425
140	0.398457962
141	0.3948732182
142	0.3930022157
143	0.3917620603
144	0.3897249507
145	0.3877070848
146	0.3849859051
147	0.38318426
148	0.3817149932
149	0.3799612456
150	0.3780104773
151	0.3761986446
152	0.373157849
153	0.3709993668
154	0.3671333028
155	0.3648472501
156	0.3623855703
157	0.3602969835
158	0.3585035664
159	0.3563963521
160	0.3546576278
161	0.3529963785
162	0.3515155169
163	0.3502540981
164	0.348786025
165	0.3469728801
166	0.3458170941
167	0.3442914976
168	0.3425734044
169	0.341322062
170	0.3398616717
171	0.3383598153
172	0.3372417998
173	0.3360004648
174	0.3339485669
175	0.3320429934
176	0.3304826892
177	0.329238735
178	0.327505392
179	0.3270007168
180	0.3262889388
181	0.3243256777
182	0.3233357168
183	0.3213074939
184	0.3200618714
185	0.3189271335
186	0.317012059
187	0.3154040408
188	0.3142646875
189	0.3126163076
190	0.3105550551
191	0.3089153531
192	0.3073254839
193	0.305387643
194	0.3044514972
195	0.3026202334
196	0.3008472691
197	0.3000728187
198	0.2985185865
199	0.2973602568
200	0.295582358
201	0.2940247959
202	0.2920675668
203	0.2911439653
204	0.290216898
205	0.2886087534
206	0.2873186195
207	0.2861221885
208	0.2850686534
209	0.2835033258
210	0.2821691616
211	0.280718148
212	0.2795420741
213	0.2786452899
214	0.2779933279
215	0.2764917049
216	0.2753707762
217	0.2737829147
218	0.2716870936
219	0.2704437887
220	0.2697837875
221	0.2690590647
222	0.2680628344
223	0.2671809296
224	0.266401082
225	0.265748133
226	0.2644886365
227	0.263040279
228	0.2617746137
229	0.2611986968
230	0.2598739191
231	0.2589768258
232	0.2574234296
233	0.256846795
234	0.2553651701
235	0.2545222128
236	0.2535468802
237	0.2527659873
238	0.2524082596
239	0.2510582592
240	0.2500745443
241	0.2494241823
242	0.2478173392
243	0.2466345689
244	0.2461422997
245	0.2449743764
246	0.2441208214
247	0.2432039663
248	0.2420540293
249	0.2407438035
250	0.240075581
251	0.2386336118
252	0.2374656022
253	0.2362343544
254	0.2353545026
255	0.2346229157
256	0.2336539898
257	0.2328854772
258	0.2315558277
259	0.2303857776
260	0.2297992795
261	0.2293565541
262	0.2282737774
263	0.2272335585
264	0.2261018721
265	0.2250702721
266	0.2238276225
267	0.2228142078
268	0.2218147441
269	0.2208181459
270	0.2201847602
271	0.2192993778
272	0.2185363953
273	0.2179116228
274	0.2170694612
275	0.2159325444
276	0.2144522757
277	0.2136452869
278	0.2130827398
279	0.2120746712
280	0.2116925687
281	0.2105606585
282	0.209740296
283	0.2084910912
284	0.2079801961
285	0.2065699883
286	0.2060119355
287	0.2052655287
288	0.2046957241
289	0.2035430111
290	0.2028759301
291	0.2021321918
292	0.2011815758
293	0.2002279946
294	0.199347247
295	0.1987093473
296	0.1979025945
297	0.1969496283
298	0.196171359
299	0.19514505
300	0.1944669002
301	0.1939245844
302	0.1935613041
303	0.1927652158
304	0.1923261869
305	0.1916972963
306	0.1909534524
307	0.1900667812
308	0.1892387739
309	0.1885001525
310	0.1878129551
311	0.1872132988
312	0.1867423312
313	0.1858686795
314	0.1851951978
315	0.184538973
316	0.184006817
317	0.1833835161
318	0.1830146047
319	0.182348027
320	0.1818267405
321	0.1812126405
322	0.1807022197
323	0.1797752295
324	0.1792090031
325	0.1787995273
326	0.1784233887
327	0.1777739889
328	0.1769590168
329	0.1765363599
330	0.176134368
331	0.1752917239
332	0.1748607269
333	0.1745113767
334	0.1738593141
335	0.1731816815
336	0.172587518
337	0.1721596643
338	0.1717077733
339	0.1711516937
340	0.1705270145
341	0.169842115
342	0.1696775323
343	0.1691281557
344	0.1685544852
345	0.1678508593
346	0.1673877703
347	0.1668009361
348	0.1662796461
349	0.1658697716
350	0.1654277448
351	0.1646682355
352	0.1641804667
353	0.1639319693
354	0.1636155325
355	0.1629777149
356	0.1620995205
357	0.1613293862
358	0.1609259894
359	0.1603912656
360	0.1601351666
361	0.1594455041
362	0.1589399782
363	0.1583361572
364	0.1578081
365	0.1571331676
366	0.156449128
367	0.1558380292
368	0.1552012298
369	0.1546859024
370	0.1541908544
371	0.1534264441
372	0.1529765854
373	0.1523773363
374	0.1518801631
375	0.1515593267
376	0.1511842233
377	0.1509218048
378	0.1503819003
379	0.1499952636
380	0.1494700037
381	0.1489398513
382	0.1483424345
383	0.1481179262
384	0.1474587878
385	0.1470237785
386	0.1464065526
387	0.1461443115
388	0.1455632295
389	0.1449902557
390	0.1443141779
391	0.143776912
392	0.1433336915
393	0.1429407692
394	0.1426943473
395	0.1420783662
396	0.1415497039
397	0.1411344458
398	0.1408999313
399	0.1404330124
400	0.140151036
