iter	Passed	Remaining
0	5	5860
1	10	5479
2	15	5020
3	19	4857
4	25	5003
5	29	4936
6	33	4788
7	38	4795
8	43	4742
9	47	4654
10	51	4650
11	57	4711
12	61	4658
13	65	4628
14	70	4635
15	74	4603
16	78	4567
17	83	4548
18	88	4564
19	92	4543
20	97	4539
21	102	4563
22	107	4556
23	111	4549
24	115	4506
25	120	4511
26	124	4489
27	128	4453
28	132	4426
29	136	4419
30	141	4409
31	144	4375
32	150	4405
33	154	4378
34	157	4349
35	161	4337
36	166	4326
37	170	4303
38	173	4283
39	177	4254
40	182	4275
41	187	4272
42	190	4244
43	195	4246
44	201	4269
45	204	4244
46	208	4235
47	213	4235
48	218	4237
49	222	4230
50	226	4215
51	231	4221
52	235	4215
53	239	4195
54	243	4189
55	249	4198
56	252	4177
57	256	4161
58	260	4152
59	263	4135
60	267	4123
61	271	4102
62	275	4103
63	279	4092
64	283	4079
65	287	4075
66	293	4090
67	297	4075
68	301	4069
69	305	4055
70	309	4052
71	313	4047
72	317	4028
73	321	4019
74	325	4014
75	328	3998
76	332	3982
77	335	3967
78	340	3966
79	343	3951
80	347	3939
81	351	3934
82	355	3926
83	359	3917
84	362	3903
85	367	3900
86	371	3895
87	374	3885
88	378	3875
89	382	3864
90	386	3862
91	390	3855
92	394	3850
93	398	3843
94	402	3833
95	405	3822
96	409	3810
97	413	3805
98	416	3793
99	420	3785
100	424	3776
101	427	3766
102	431	3758
103	435	3750
104	439	3744
105	442	3732
106	446	3726
107	450	3719
108	453	3709
109	458	3706
110	461	3693
111	465	3693
112	469	3684
113	473	3680
114	477	3674
115	481	3665
116	484	3658
117	488	3648
118	491	3642
119	496	3637
120	499	3628
121	502	3618
122	506	3613
123	510	3609
124	514	3600
125	518	3595
126	522	3589
127	525	3581
128	529	3577
129	533	3569
130	537	3564
131	540	3556
132	545	3553
133	549	3548
134	552	3541
135	556	3536
136	560	3529
137	564	3525
138	568	3522
139	572	3514
140	575	3508
141	579	3502
142	584	3499
143	587	3492
144	592	3491
145	596	3491
146	600	3482
147	604	3478
148	608	3474
149	612	3470
150	616	3467
151	620	3459
152	625	3461
153	628	3452
154	631	3444
155	635	3438
156	639	3433
157	643	3431
158	647	3426
159	651	3419
160	654	3412
161	658	3406
162	662	3401
163	665	3394
164	670	3391
165	674	3387
166	678	3383
167	682	3377
168	685	3369
169	689	3364
170	692	3358
171	697	3356
172	700	3350
173	705	3349
174	710	3347
175	713	3342
176	717	3335
177	721	3334
178	725	3326
179	728	3320
180	732	3313
181	736	3312
182	740	3307
183	744	3301
184	748	3296
185	752	3291
186	756	3287
187	760	3283
188	763	3276
189	767	3273
190	772	3271
191	776	3267
192	780	3262
193	786	3266
194	790	3263
195	794	3259
196	799	3258
197	803	3254
198	808	3253
199	811	3247
200	817	3247
201	821	3246
202	825	3241
203	829	3237
204	835	3241
205	839	3236
206	842	3229
207	847	3225
208	851	3222
209	855	3218
210	859	3214
211	864	3213
212	868	3209
213	872	3203
214	877	3205
215	882	3203
216	887	3202
217	892	3200
218	898	3204
219	903	3203
220	907	3199
221	913	3200
222	917	3195
223	920	3189
224	925	3188
225	930	3186
226	933	3180
227	938	3176
228	943	3175
229	946	3169
230	950	3164
231	954	3158
232	959	3157
233	963	3152
234	966	3146
235	970	3141
236	975	3139
237	978	3134
238	982	3128
239	986	3123
240	990	3120
241	994	3116
242	998	3109
243	1002	3107
244	1006	3102
245	1009	3095
246	1013	3089
247	1017	3085
248	1021	3080
249	1024	3074
250	1028	3068
251	1032	3064
252	1036	3059
253	1040	3054
254	1043	3047
255	1046	3041
256	1051	3038
257	1054	3033
258	1058	3027
259	1061	3021
260	1066	3018
261	1069	3013
262	1073	3008
263	1076	3001
264	1080	2997
265	1084	2992
266	1087	2986
267	1090	2979
268	1094	2974
269	1098	2970
270	1102	2964
271	1105	2958
272	1109	2953
273	1112	2948
274	1116	2943
275	1119	2937
276	1123	2931
277	1126	2926
278	1129	2920
279	1133	2914
280	1137	2909
281	1140	2903
282	1144	2898
283	1147	2892
284	1150	2886
285	1153	2880
286	1157	2875
287	1160	2869
288	1164	2864
289	1167	2858
290	1171	2853
291	1174	2848
292	1178	2843
293	1181	2838
294	1185	2832
295	1189	2828
296	1192	2823
297	1196	2818
298	1199	2812
299	1203	2807
300	1207	2803
301	1210	2797
302	1213	2791
303	1217	2786
304	1220	2781
305	1224	2776
306	1227	2771
307	1230	2765
308	1234	2760
309	1237	2754
310	1241	2749
311	1244	2744
312	1248	2739
313	1251	2733
314	1255	2729
315	1258	2724
316	1261	2718
317	1265	2713
318	1268	2708
319	1272	2703
320	1275	2697
321	1278	2692
322	1282	2688
323	1286	2683
324	1289	2678
325	1292	2673
326	1296	2667
327	1299	2662
328	1302	2657
329	1306	2651
330	1309	2646
331	1312	2641
332	1316	2637
333	1320	2632
334	1323	2626
335	1326	2621
336	1329	2616
337	1333	2611
338	1336	2606
339	1340	2601
340	1343	2596
341	1346	2591
342	1350	2587
343	1353	2581
344	1357	2576
345	1360	2572
346	1364	2567
347	1368	2563
348	1371	2558
349	1375	2553
350	1378	2548
351	1381	2543
352	1385	2539
353	1388	2534
354	1392	2529
355	1396	2525
356	1399	2520
357	1402	2515
358	1405	2510
359	1409	2505
360	1412	2501
361	1416	2496
362	1419	2491
363	1423	2486
364	1426	2481
365	1430	2477
366	1433	2472
367	1436	2467
368	1440	2462
369	1443	2458
370	1447	2453
371	1450	2449
372	1453	2443
373	1457	2438
374	1460	2434
375	1463	2429
376	1467	2424
377	1470	2420
378	1474	2416
379	1478	2411
380	1481	2406
381	1484	2402
382	1488	2397
383	1491	2393
384	1495	2388
385	1498	2384
386	1502	2379
387	1505	2374
388	1508	2370
389	1512	2365
390	1515	2360
391	1519	2356
392	1522	2352
393	1526	2348
394	1530	2343
395	1533	2339
396	1537	2335
397	1540	2330
398	1544	2326
399	1547	2321
400	1551	2317
401	1555	2313
402	1558	2308
403	1561	2303
404	1565	2299
405	1568	2294
406	1571	2290
407	1575	2285
408	1578	2281
409	1582	2276
410	1585	2272
411	1589	2267
412	1593	2264
413	1596	2259
414	1600	2255
415	1603	2251
416	1607	2246
417	1610	2242
418	1613	2238
419	1617	2233
420	1621	2229
421	1625	2225
422	1628	2221
423	1632	2217
424	1635	2213
425	1639	2209
426	1642	2204
427	1646	2199
428	1649	2195
429	1653	2191
430	1657	2187
431	1660	2183
432	1663	2178
433	1667	2174
434	1671	2170
435	1674	2166
436	1678	2162
437	1682	2158
438	1686	2155
439	1690	2152
440	1694	2147
441	1698	2144
442	1701	2139
443	1705	2135
444	1708	2131
445	1712	2127
446	1717	2124
447	1720	2120
448	1724	2116
449	1727	2111
450	1732	2108
451	1735	2103
452	1739	2100
453	1743	2096
454	1747	2092
455	1751	2089
456	1755	2085
457	1758	2081
458	1762	2077
459	1766	2074
460	1770	2070
461	1773	2065
462	1778	2062
463	1782	2058
464	1786	2055
465	1790	2051
466	1793	2047
467	1798	2044
468	1802	2040
469	1805	2036
470	1810	2033
471	1814	2030
472	1818	2026
473	1822	2022
474	1829	2021
475	1833	2017
476	1837	2015
477	1841	2010
478	1846	2007
479	1850	2005
480	1854	2001
481	1861	2000
482	1866	1998
483	1870	1994
484	1875	1991
485	1879	1987
486	1882	1983
487	1886	1978
488	1891	1976
489	1896	1973
490	1899	1969
491	1903	1965
492	1909	1963
493	1912	1959
494	1917	1955
495	1920	1951
496	1926	1949
497	1930	1945
498	1934	1942
499	1939	1939
500	1944	1936
501	1948	1932
502	1952	1928
503	1957	1926
504	1961	1923
505	1966	1919
506	1971	1917
507	1976	1913
508	1980	1910
509	1985	1907
510	1990	1904
511	1994	1900
512	1997	1896
513	2002	1893
514	2007	1890
515	2011	1886
516	2015	1882
517	2020	1880
518	2024	1876
519	2027	1871
520	2031	1867
521	2036	1864
522	2040	1860
523	2043	1856
524	2047	1852
525	2052	1849
526	2056	1845
527	2060	1841
528	2064	1838
529	2069	1834
530	2073	1831
531	2076	1827
532	2081	1824
533	2086	1820
534	2089	1816
535	2094	1812
536	2099	1809
537	2102	1805
538	2107	1802
539	2111	1798
540	2115	1795
541	2120	1792
542	2125	1788
543	2130	1785
544	2134	1782
545	2138	1778
546	2142	1774
547	2148	1772
548	2153	1769
549	2157	1765
550	2162	1762
551	2166	1758
552	2171	1754
553	2175	1751
554	2179	1747
555	2183	1743
556	2186	1739
557	2190	1734
558	2194	1731
559	2197	1726
560	2201	1722
561	2204	1718
562	2209	1714
563	2212	1710
564	2215	1706
565	2219	1701
566	2223	1698
567	2227	1694
568	2231	1690
569	2234	1685
570	2238	1682
571	2242	1678
572	2246	1673
573	2249	1669
574	2253	1665
575	2257	1661
576	2261	1657
577	2264	1653
578	2268	1649
579	2273	1645
580	2276	1642
581	2280	1638
582	2284	1633
583	2288	1630
584	2292	1625
585	2295	1621
586	2299	1617
587	2302	1613
588	2306	1609
589	2309	1605
590	2314	1602
591	2318	1597
592	2321	1593
593	2325	1589
594	2329	1585
595	2333	1581
596	2336	1577
597	2339	1572
598	2343	1568
599	2347	1564
600	2350	1560
601	2354	1556
602	2358	1552
603	2361	1548
604	2365	1544
605	2368	1540
606	2372	1535
607	2376	1532
608	2379	1527
609	2382	1523
610	2386	1519
611	2389	1514
612	2393	1510
613	2397	1506
614	2400	1502
615	2403	1498
616	2407	1494
617	2410	1490
618	2414	1485
619	2417	1481
620	2421	1477
621	2424	1473
622	2428	1469
623	2431	1465
624	2434	1460
625	2438	1456
626	2441	1452
627	2445	1448
628	2448	1444
629	2451	1440
630	2455	1436
631	2459	1432
632	2462	1427
633	2465	1423
634	2469	1419
635	2472	1415
636	2476	1411
637	2479	1407
638	2483	1402
639	2486	1398
640	2490	1394
641	2494	1390
642	2497	1386
643	2501	1382
644	2504	1378
645	2508	1374
646	2511	1370
647	2515	1366
648	2518	1362
649	2522	1358
650	2525	1354
651	2529	1349
652	2532	1345
653	2535	1341
654	2539	1337
655	2542	1333
656	2546	1329
657	2550	1325
658	2553	1321
659	2557	1317
660	2560	1313
661	2564	1309
662	2568	1305
663	2571	1301
664	2574	1297
665	2578	1292
666	2581	1288
667	2584	1284
668	2588	1280
669	2591	1276
670	2595	1272
671	2599	1268
672	2602	1264
673	2605	1260
674	2609	1256
675	2612	1252
676	2616	1248
677	2619	1244
678	2623	1240
679	2627	1236
680	2631	1232
681	2634	1228
682	2638	1224
683	2641	1220
684	2645	1216
685	2648	1212
686	2652	1208
687	2655	1204
688	2658	1200
689	2662	1196
690	2666	1192
691	2669	1188
692	2673	1184
693	2676	1180
694	2680	1176
695	2683	1172
696	2686	1168
697	2690	1163
698	2694	1160
699	2697	1156
700	2700	1151
701	2704	1147
702	2707	1143
703	2711	1139
704	2714	1135
705	2717	1131
706	2721	1127
707	2725	1124
708	2728	1120
709	2732	1115
710	2735	1111
711	2738	1107
712	2742	1103
713	2746	1100
714	2750	1096
715	2753	1092
716	2757	1088
717	2760	1084
718	2764	1080
719	2767	1076
720	2771	1072
721	2774	1068
722	2778	1064
723	2781	1060
724	2784	1056
725	2788	1052
726	2791	1048
727	2795	1044
728	2798	1040
729	2801	1036
730	2805	1032
731	2809	1028
732	2812	1024
733	2815	1020
734	2819	1016
735	2822	1012
736	2825	1008
737	2829	1004
738	2832	1000
739	2836	996
740	2839	992
741	2843	988
742	2846	984
743	2850	980
744	2853	976
745	2857	973
746	2861	969
747	2864	965
748	2868	961
749	2872	957
750	2875	953
751	2878	949
752	2882	945
753	2886	941
754	2889	937
755	2893	933
756	2897	930
757	2901	926
758	2905	922
759	2908	918
760	2912	914
761	2916	911
762	2920	907
763	2924	903
764	2927	899
765	2932	895
766	2936	892
767	2940	888
768	2945	884
769	2950	881
770	2953	877
771	2958	873
772	2962	869
773	2966	866
774	2970	862
775	2974	858
776	2978	854
777	2982	851
778	2985	847
779	2989	843
780	2993	839
781	2997	835
782	3000	831
783	3004	827
784	3008	823
785	3011	820
786	3016	816
787	3020	812
788	3024	808
789	3028	805
790	3032	801
791	3036	797
792	3039	793
793	3044	789
794	3049	786
795	3053	782
796	3057	778
797	3063	775
798	3067	771
799	3070	767
800	3076	764
801	3081	760
802	3085	756
803	3089	753
804	3093	749
805	3097	745
806	3101	741
807	3105	737
808	3110	734
809	3114	730
810	3118	726
811	3124	723
812	3128	719
813	3132	715
814	3136	712
815	3141	708
816	3145	704
817	3148	700
818	3154	697
819	3159	693
820	3163	689
821	3167	685
822	3172	682
823	3176	678
824	3180	674
825	3184	670
826	3189	667
827	3193	663
828	3197	659
829	3204	656
830	3207	652
831	3211	648
832	3216	644
833	3220	641
834	3224	637
835	3228	633
836	3234	629
837	3238	626
838	3242	622
839	3246	618
840	3252	614
841	3256	611
842	3259	607
843	3264	603
844	3270	599
845	3273	595
846	3278	592
847	3282	588
848	3287	584
849	3290	580
850	3294	576
851	3299	573
852	3303	569
853	3306	565
854	3311	561
855	3316	557
856	3320	554
857	3324	550
858	3329	546
859	3334	542
860	3337	538
861	3343	535
862	3349	531
863	3352	527
864	3356	523
865	3361	520
866	3364	516
867	3368	512
868	3372	508
869	3377	504
870	3381	500
871	3385	496
872	3389	493
873	3405	491
874	3409	487
875	3414	483
876	3417	479
877	3423	475
878	3427	471
879	3431	467
880	3435	464
881	3442	460
882	3446	456
883	3449	452
884	3454	448
885	3458	445
886	3462	441
887	3466	437
888	3470	433
889	3474	429
890	3478	425
891	3482	421
892	3487	417
893	3491	413
894	3494	409
895	3499	406
896	3502	402
897	3506	398
898	3510	394
899	3514	390
900	3519	386
901	3522	382
902	3526	378
903	3530	374
904	3534	371
905	3538	367
906	3541	363
907	3554	360
908	3561	356
909	3568	352
910	3573	349
911	3579	345
912	3583	341
913	3587	337
914	3591	333
915	3595	329
916	3599	325
917	3603	321
918	3607	317
919	3611	314
920	3615	310
921	3618	306
922	3622	302
923	3626	298
924	3630	294
925	3634	290
926	3638	286
927	3642	282
928	3646	278
929	3649	274
930	3653	270
931	3658	266
932	3662	263
933	3666	259
934	3670	255
935	3675	251
936	3679	247
937	3682	243
938	3687	239
939	3692	235
940	3695	231
941	3699	227
942	3705	223
943	3710	220
944	3714	216
945	3719	212
946	3723	208
947	3727	204
948	3731	200
949	3737	196
950	3741	192
951	3746	188
952	3750	184
953	3754	181
954	3758	177
955	3762	173
956	3767	169
957	3772	165
958	3775	161
959	3779	157
960	3785	153
961	3788	149
962	3792	145
963	3796	141
964	3801	137
965	3805	133
966	3810	130
967	3814	126
968	3818	122
969	3823	118
970	3826	114
971	3831	110
972	3835	106
973	3838	102
974	3843	98
975	3847	94
976	3852	90
977	3856	86
978	3860	82
979	3865	78
980	3869	74
981	3872	70
982	3878	67
983	3882	63
984	3886	59
985	3889	55
986	3894	51
987	3898	47
988	3902	43
989	3905	39
990	3910	35
991	3914	31
992	3918	27
993	3923	23
994	3928	19
